id,name,host_id,PriceSeq,Price,ReviewSeq,ReviewScore,NBSeq
8521,"SunsplashedSerenity walk to Harvard & Fresh Pond",306681,2,150.00,5,94,13
11169,"Lovely Studio Room: Thu-Mons, Near Universities",40965,2,112.00,5,95,8
11945,"Near Harvard: Safe & Lovely Room",40965,1,82.00,5,98,8
19581,"Furnished suite, Windsor",74249,1,98.00,3,80,11
22006,"B & B near Harvard's Quad Houses",84280,2,110.00,5,96,7
24063,"Riverbend Bed and Breakfast",96414,2,110.00,5,97,13
26531,"CENTRAL LOCATION IN HEART OF CAMBRIDGE",87398,3,200.00,3,80,9
27498,"Furnished suite 2 @ the Windsor",74249,2,123.00,4,88,11
79762,"Cambridge Getaway @ Harvard & MIT",430015,4,250.00,5,97,11
106474,"large furnished suite in Central sq",74249,2,138.00,5,96,11
108898,"The Treehouse :  Elegant living near Harvard",306681,3,180.00,5,93,13
219471,"A+ Clean & Safe 1Br @ MIT, Kendall, Back Bay",444945,4,240.00,4,89,4
326170,"Two-room suite near Harvard Univ. with parking",1665697,1,80.00,5,97,1
405144,"Apartment in Harvard's Backyard",2018955,3,165.00,5,95,6
445407,"East Cambridge Apartment",2212429,5,300.00,5,99,12
456429,"Elegant Airy Comfort. Workspace. Private Entrance.",2244099,5,350.00,5,99,8
577384,"Large Room with Shared Bath",229956,1,33.00,5,92,11
675441,"Waterfront-1 Bed Room Luxury Condo",3423245,3,180.00,5,93,5
715532,"Quiet, Artistically Decorated Cambridge Apartment",3673828,3,200.00,5,98,8
742574,"See Yourself in Central Square",1152305,2,150.00,5,92,4
860634,"Home on quiet street near Harvard",4507945,1,70.00,5,98,1
910408,"Full Term Housing in Mid Cambridge MA!",4883794,1,100.00,5,96,6
1054635,"Sunny, lg 1-br, heart of Cambridge",3087212,2,125.00,5,98,6
1067104,"Harvard Tufts MIT: Artist's Home",5871398,1,84.00,5,100,8
1088876,"#17-1 Big 1 BR in Harvard Sq.!",1461240,3,165.00,4,90,9
1097262,"Harvard/MIT/BU/Central Square Room",6030020,1,70.00,5,95,4
1140201,"Great Room Near Harvard/MIT/BU",6030020,1,70.00,5,94,4
1141088,"MIT/Harvard/Inman- 2 Bedroom Apt.",2530211,3,179.00,5,94,12
1143701,"Luxury Cambridge Apartment",6203069,2,125.00,5,97,8
1154298,"Quiet private room in N. Cambridge",6325607,1,65.00,5,93,8
1193875,"Large Downstairs Room",229956,1,32.00,4,90,11
1200294,"Small Downstairs Room",229956,1,25.00,4,89,11
1203031,"Corner Room in Shared Apt",229956,1,34.00,4,88,11
1215512,"Minutes to Harvard Square",2066283,3,166.00,5,99,10
1216161,"Spacious townhouse in Cambridge, MA",6636728,2,135.00,5,100,6
1225831,"Victorian Charm MIT/Harvard/Kendall/Central-1BR",3380576,2,113.00,5,97,11
1257229,"Lovely Room Near Porter & Harvard",6839881,1,48.00,3,80,7
1276962,"Cambridge Apt, walk to MIT, Harvard",6122485,4,214.00,5,98,11
1330779,"Huron Village Lower Unit Harvard Sq",4642626,3,200.00,5,97,7
1341022,"Long term only, Modern Entire Condo MIT/MGH $3600",6619766,2,134.00,5,98,11
1404377,"Renovated Brownstone - MIT/Kendall",7579202,2,140.00,5,98,5
1406416,"City living at its finest!",7579202,2,140.00,5,97,5
1444324,"Large 2 Bedroom short ride to Harvard",2356643,2,148.00,4,85,3
1450370,"Lovely Room in Cambridge. Close to Subway!!",6839881,1,72.00,3,80,7
1619471,"Charming Room Near Harvard Square",8530114,2,140.00,5,99,6
1619859,"Entire 1BR Harvard Sq / Porter Sq",23078,2,120.00,3,80,7
1632003,"2 Cozy Rooms Near Harvard Square",8530114,3,173.00,5,99,6
1711476,"Serene & cozy 1BR oasis, walk to  Harvard Square!",3402394,1,90.00,5,96,6
1799157,"Cambridge Long-Term Large Room",7757356,1,65.00,5,97,10
1840256,"Lux 1 Bedroom Cambridge Apt by MIT",9419684,2,129.00,5,94,2
1855969,"Lux 2 Bedroom Cambridge Apt by MIT",9419684,3,162.00,5,99,5
1881771,"It's home, Cambridge! (2BD/2BT)",9796499,3,180.00,5,94,4
1893287,"Bright Convenient Apt Harvard / MIT",9553483,2,145.00,5,98,11
1935343,"Cute, clean & it?€?s all yours-1 bed- great location",10014448,2,145.00,5,95,4
1984737,"Charming Harvard Victorian",8824696,4,246.00,5,95,13
2030680,"Cozy Room in a Charming Townhouse",10427720,2,125.00,5,98,10
2038283,"Stay Across from Harvard's Campus!",4521987,2,106.00,5,96,6
2176599,"Lux 1 Bedroom Cambridge Apt by MIT",9419684,3,155.00,5,96,5
2223447,"HarvardSq. Bright&Quiet 1 BdrApt MONTHLY/LONG TERM",7421025,1,95.00,5,92,6
2244415,"???Harvard???MIT???Parking ???Clean???Quiet???Full Apartment???",3668535,5,329.00,5,93,6
2451591,"Large Master Bedroom + Full Private Bath",12535522,2,129.00,5,95,4
2538983,"Spacious 2 bedrooms Apt-Roof deck NO Cleaning fee",13000172,4,213.00,5,97,4
2580942,"Cambridge Getaway @ MIT and Harvard",430015,4,250.00,5,98,11
2642323,"Huron Village Upper Unit Harvard Sq",4642626,3,200.00,5,94,3
2692752,"Country home in the city center.",6501896,1,95.00,5,95,4
2798096,"Spacious and luxurious condo in Porter Square",8100967,5,260.00,0,0,8
2879039,"Lux 1 Bedroom Cambridge Apt by MIT",9419684,3,155.00,5,96,2
2914111,"Friendly Pleasant Place",14883738,2,108.00,5,95,4
3234995,"Lovely, large 3 room apartment",10470174,5,300.00,5,98,13
3247833,"Lovely East Cambridge Apartment",2212429,3,166.00,5,96,12
3316734,"Quiet 3rd fl, lovely light, lofted full mattress",9939488,1,57.00,5,92,7
3334098,"WELL-APPOINTED, BRIGHT AND SPACIOUS",5331227,3,185.00,5,98,5
3352446,"Near Harvard/MIT/Tufts: Pet OK, backyard, lovely!",3842820,3,189.00,5,100,10
3375100,"21 - Near Harvard,Sun-filled,Queen bed",17028791,1,40.00,4,84,13
3434822,"Harvard MIT: Artist's Home",5871398,1,84.00,5,98,8
3474824,"Quiet Studio near MIT, Harvard & BU",5074009,2,147.00,5,97,4
3475883,"Queen Bed (Liz) at Waterbridge",1152305,1,65.00,5,98,10
